2Theta,Intensity
10.00,4.78
10.02,4.74
10.04,4.83
10.06,6.05
10.08,4.81
10.10,2.75
10.12,5.50
10.14,4.60
10.16,4.67
10.18,5.17
10.20,5.35
10.22,6.75
10.24,5.98
10.26,5.17
10.28,3.89
10.30,3.48
10.32,5.37
10.34,6.97
10.36,5.06
10.38,4.84
10.40,5.80
10.42,2.82
10.44,4.53
10.46,5.74
10.48,6.31
10.50,4.64
10.52,5.56
10.54,5.37
10.56,6.17
10.58,3.33
10.60,5.85
10.62,2.73
10.64,1.07
10.66,4.09
10.68,3.63
10.70,6.31
10.72,6.00
10.74,3.17
10.76,6.27
10.78,3.50
10.80,4.87
10.82,4.56
10.84,5.17
10.86,6.23
10.88,5.96
10.90,5.52
10.92,5.97
10.94,5.72
10.96,4.06
10.98,3.92
11.00,4.30
11.02,5.75
11.04,4.62
11.06,8.50
11.08,3.77
11.10,3.35
11.12,6.15
11.14,7.13
11.16,5.76
11.18,6.25
11.20,7.14
11.22,4.86
11.24,2.87
11.26,4.20
11.28,6.43
11.30,2.83
11.32,5.05
11.34,5.38
11.36,4.53
11.38,6.09
11.40,5.87
11.42,8.48
11.44,5.93
11.46,4.09
11.48,4.16
11.50,3.75
11.52,6.43
11.54,4.15
11.56,4.89
11.58,6.12
11.60,3.91
11.62,4.56
11.64,2.24
11.66,3.38
11.68,4.15
11.70,5.62
11.72,6.79
11.74,4.97
11.76,5.39
11.78,5.25
11.80,6.63
11.82,6.34
11.84,5.41
11.86,3.48
11.88,6.36
11.90,5.57
11.92,6.84
11.94,4.96
11.96,7.93
11.98,4.46
12.00,7.39
12.02,5.17
12.04,4.23
12.06,3.31
12.08,4.77
12.10,7.13
12.12,6.22
12.14,6.03
12.16,1.44
12.18,6.07
12.20,5.83
12.22,4.18
12.24,4.06
12.26,5.00
12.28,7.59
12.30,3.42
12.32,4.36
12.34,7.04
12.36,4.33
12.38,4.45
12.40,5.15
12.42,3.14
12.44,5.33
12.46,3.19
12.48,6.33
12.50,5.00
12.52,8.43
12.54,5.42
12.56,7.05
12.58,3.05
12.60,4.82
12.62,5.48
12.64,7.62
12.66,2.48
12.68,6.49
12.70,5.89
12.72,7.30
12.74,6.07
12.76,5.08
12.78,4.22
12.80,3.13
12.82,5.29
12.84,4.71
12.86,8.03
12.88,4.08
12.90,5.48
12.92,2.65
12.94,4.41
12.96,5.39
12.98,6.24
13.00,7.17
13.02,4.93
13.04,3.32
13.06,5.69
13.08,5.78
13.10,5.74
13.12,3.95
13.14,6.70
13.16,5.13
13.18,6.05
13.20,6.91
13.22,5.91
13.24,5.43
13.26,8.23
13.28,5.37
13.30,4.56
13.32,5.17
13.34,7.22
13.36,5.18
13.38,5.78
13.40,6.79
13.42,4.23
13.44,2.41
13.46,5.45
13.48,5.34
13.50,4.09
13.52,6.31
13.54,5.91
13.56,3.51
13.58,5.78
13.60,4.71
13.62,2.78
13.64,5.68
13.66,4.93
13.68,3.88
13.70,5.78
13.72,5.73
13.74,4.13
13.76,5.60
13.78,6.52
13.80,3.93
13.82,5.57
13.84,5.00
13.86,8.40
13.88,2.21
13.90,6.04
13.92,4.54
13.94,4.85
13.96,7.85
13.98,4.99
14.00,8.36
14.02,4.34
14.04,5.53
14.06,4.26
14.08,3.96
14.10,5.09
14.12,4.58
14.14,5.30
14.16,1.84
14.18,8.00
14.20,4.75
14.22,7.61
14.24,3.49
14.26,5.44
14.28,9.75
14.30,3.70
14.32,2.76
14.34,4.18
14.36,5.71
14.38,6.04
14.40,6.94
14.42,4.61
14.44,2.60
14.46,4.35
14.48,6.86
14.50,5.70
14.52,2.06
14.54,4.95
14.56,7.10
14.58,8.19
14.60,5.84
14.62,5.46
14.64,3.14
14.66,3.74
14.68,5.07
14.70,5.75
14.72,5.87
14.74,4.28
14.76,3.27
14.78,3.83
14.80,3.26
14.82,5.97
14.84,1.53
14.86,4.50
14.88,5.67
14.90,7.28
14.92,5.11
14.94,6.50
14.96,4.40
14.98,3.88
15.00,3.99
15.02,7.29
15.04,6.49
15.06,5.73
15.08,10.00
15.10,4.95
15.12,5.93
15.14,5.46
15.16,4.67
15.18,8.47
15.20,7.26
15.22,2.90
15.24,4.40
15.26,5.64
15.28,6.17
15.30,2.98
15.32,1.62
15.34,2.14
15.36,4.89
15.38,4.85
15.40,5.52
15.42,3.85
15.44,3.16
15.46,1.97
15.48,5.49
15.50,5.56
15.52,6.49
15.54,6.19
15.56,4.71
15.58,7.02
15.60,4.80
15.62,4.01
15.64,4.22
15.66,4.12
15.68,1.75
15.70,5.23
15.72,5.37
15.74,4.46
15.76,3.93
15.78,5.56
15.80,7.58
15.82,5.06
15.84,4.24
15.86,4.11
15.88,4.90
15.90,3.10
15.92,4.81
15.94,5.09
15.96,7.77
15.98,6.42
