2Theta,Intensity
10.00,4.91
10.02,5.37
10.04,7.12
10.06,4.10
10.08,5.63
10.10,2.39
10.12,5.69
10.14,2.20
10.16,5.95
10.18,4.29
10.20,5.25
10.22,2.82
10.24,5.04
10.26,6.24
10.28,5.93
10.30,4.97
10.32,4.99
10.34,6.72
10.36,6.10
10.38,4.06
10.40,4.13
10.42,3.98
10.44,4.95
10.46,3.26
10.48,1.76
10.50,4.67
10.52,5.38
10.54,5.28
10.56,6.63
10.58,3.06
10.60,4.23
10.62,2.84
10.64,5.37
10.66,4.84
10.68,4.28
10.70,5.06
10.72,3.94
10.74,3.47
10.76,7.37
10.78,6.22
10.80,4.72
10.82,2.69
10.84,4.68
10.86,5.86
10.88,5.25
10.90,6.51
10.92,6.84
10.94,4.87
10.96,4.30
10.98,4.26
11.00,4.38
11.02,6.36
11.04,4.36
11.06,2.48
11.08,5.70
11.10,4.85
11.12,4.30
11.14,2.05
11.16,6.76
11.18,6.04
11.20,3.29
11.22,5.23
11.24,3.37
11.26,2.96
11.28,1.85
11.30,6.17
11.32,6.32
11.34,4.54
11.36,4.91
11.38,7.63
11.40,3.87
11.42,3.22
11.44,5.19
11.46,5.82
11.48,4.55
11.50,2.86
11.52,3.85
11.54,6.03
11.56,6.07
11.58,2.49
11.60,3.17
11.62,3.52
11.64,4.96
11.66,8.31
11.68,4.57
11.70,5.09
11.72,3.80
11.74,8.88
11.76,4.10
11.78,4.23
11.80,5.23
11.82,3.01
11.84,6.21
11.86,4.99
11.88,3.74
11.90,4.11
11.92,2.16
11.94,4.17
11.96,1.59
11.98,4.32
12.00,4.26
12.02,4.12
12.04,4.13
12.06,3.74
12.08,6.85
12.10,7.16
12.12,4.75
12.14,6.72
12.16,4.54
12.18,4.55
12.20,3.76
12.22,6.05
12.24,5.93
12.26,3.06
12.28,5.24
12.30,4.22
12.32,3.65
12.34,4.96
12.36,2.12
12.38,4.35
12.40,7.83
12.42,5.65
12.44,3.30
12.46,5.83
12.48,5.13
12.50,4.52
12.52,4.12
12.54,5.00
12.56,4.11
12.58,4.74
12.60,6.11
12.62,6.22
12.64,3.06
12.66,4.30
12.68,7.41
12.70,7.69
12.72,5.55
12.74,7.41
12.76,6.81
12.78,4.80
12.80,2.01
12.82,4.91
12.84,3.08
12.86,5.20
12.88,7.62
12.90,5.37
12.92,3.82
12.94,3.25
12.96,2.06
12.98,2.14
13.00,7.44
13.02,6.28
13.04,4.80
13.06,4.77
13.08,4.92
13.10,4.98
13.12,7.09
13.14,5.59
13.16,2.03
13.18,6.59
13.20,2.11
13.22,4.39
13.24,2.92
13.26,5.06
13.28,3.11
13.30,2.93
13.32,3.43
13.34,6.22
13.36,4.72
13.38,6.00
13.40,7.04
13.42,5.36
13.44,5.86
13.46,3.55
13.48,4.87
13.50,3.28
13.52,5.83
13.54,6.36
13.56,6.45
13.58,4.96
13.60,6.34
13.62,4.78
13.64,4.16
13.66,5.75
13.68,6.09
13.70,8.31
13.72,6.09
13.74,3.35
13.76,3.53
13.78,3.05
13.80,5.12
13.82,3.35
13.84,7.04
13.86,4.56
13.88,5.96
13.90,5.23
13.92,5.52
13.94,3.45
13.96,4.95
13.98,4.36
14.00,4.85
14.02,5.19
14.04,6.02
14.06,4.30
14.08,6.24
14.10,5.49
14.12,7.46
14.14,0.03
14.16,4.04
14.18,6.89
14.20,1.22
14.22,7.23
14.24,5.12
14.26,1.94
14.28,6.09
14.30,3.42
14.32,3.63
14.34,7.20
14.36,4.42
14.38,3.56
14.40,8.01
14.42,6.39
14.44,4.50
14.46,3.82
14.48,4.69
14.50,7.37
14.52,3.53
14.54,3.09
14.56,6.91
14.58,4.58
14.60,5.15
14.62,5.79
14.64,4.41
14.66,1.36
14.68,4.68
14.70,6.86
14.72,8.26
14.74,4.82
14.76,4.96
14.78,7.05
14.80,5.89
14.82,5.44
14.84,2.03
14.86,4.38
14.88,5.32
14.90,2.73
14.92,4.45
14.94,7.56
14.96,4.61
14.98,2.85
15.00,2.17
