2theta	Sample_A	Sample_B	Sample_C
10.0	47.963	62.963	55.963
10.1	47.949	62.949	55.949
10.2	47.933	62.933	55.933
10.3	47.915	62.915	55.915
10.4	47.895	62.895	55.895
10.5	47.872	62.872	55.872
10.6	47.847	62.847	55.847
10.7	47.82	62.82	55.82
10.8	47.791	62.791	55.791
10.9	47.759	62.759	55.759
11.0	47.726	62.726	55.726
11.1	47.69	62.69	55.69
11.2	47.652	62.652	55.652
11.3	47.612	62.612	55.612
11.4	47.57	62.57	55.57
11.5	47.526	62.526	55.526
11.6	47.48	62.48	55.48
11.7	47.432	62.432	55.432
11.8	47.381	62.381	55.381
11.9	47.329	62.329	55.329
12.0	47.274	62.274	55.274
12.1	47.218	62.218	55.218
12.2	47.159	62.159	55.159
12.3	47.099	62.099	55.099
12.4	47.036	62.036	55.036
12.5	46.972	61.972	54.972
12.6	46.906	61.906	54.906
12.7	46.837	61.837	54.838
12.8	46.767	61.767	54.767
12.9	46.695	61.695	54.696
13.0	46.621	61.621	54.622
13.1	46.546	61.546	54.548
13.2	46.468	61.468	54.472
13.3	46.389	61.389	54.397
13.4	46.307	61.307	54.324
13.5	46.225	61.225	54.255
13.6	46.14	61.14	54.196
13.7	46.054	61.054	54.154
13.8	45.966	60.966	54.142
13.9	45.876	60.876	54.179
14.0	45.785	60.785	54.294
14.1	45.692	60.692	54.532
14.2	45.597	60.597	54.955
14.3	45.501	60.501	55.65
14.4	45.404	60.404	56.736
14.5	45.305	60.305	58.369
14.6	45.204	60.204	60.743
14.7	45.102	60.102	64.1
14.8	44.999	59.999	68.717
14.9	44.894	59.894	74.905
15.0	44.788	59.788	82.988
15.1	44.68	59.68	93.281
15.2	44.572	59.572	106.051
15.3	44.462	59.461	121.481
15.4	44.351	59.35	139.627
15.5	44.24	59.238	160.372
15.6	44.13	59.124	183.393
15.7	44.023	59.009	208.144
15.8	43.924	58.893	233.852
15.9	43.843	58.776	259.547
16.0	43.799	58.658	284.109
16.1	43.826	58.539	306.349
16.2	43.984	58.419	325.095
16.3	44.374	58.298	339.3
16.4	45.16	58.176	348.13
16.5	46.591	58.053	351.053
16.6	49.033	57.93	347.884
16.7	52.994	57.805	338.807
16.8	59.134	57.68	324.356
16.9	68.264	57.554	305.364
17.0	81.292	57.427	282.878
17.1	99.141	57.3	258.071
17.2	122.6	57.172	232.131
17.3	152.146	57.043	206.178
17.4	187.738	56.914	181.183
17.5	228.64	56.784	157.919
17.6	273.301	56.654	136.931
17.7	319.36	56.524	118.543
17.8	363.792	56.394	102.871
17.9	403.207	56.265	89.861
18.0	434.258	56.137	79.33
18.1	454.112	56.013	71.008
18.2	460.864	55.897	64.582
18.3	453.847	55.794	59.729
18.4	433.728	55.716	56.138
18.5	402.412	55.681	53.53
18.6	362.732	55.716	51.665
18.7	318.036	55.868	50.348
18.8	271.713	56.205	49.424
18.9	226.789	56.827	48.773
19.0	185.624	57.877	48.309
19.1	149.769	59.549	47.969
19.2	119.961	62.099	47.709
19.3	96.241	65.848	47.501
19.4	78.132	71.185	47.323
19.5	64.844	78.55	47.165
19.6	55.456	88.414	47.019
19.7	49.058	101.237	46.879
19.8	44.841	117.413	46.743
19.9	42.144	137.201	46.609
20.0	40.459	160.655	46.477
20.1	39.421	187.548	46.345
20.2	38.779	217.325	46.215
20.3	38.372	249.072	46.085
20.4	38.097	281.538	45.956
20.5	37.894	313.19	45.827
20.6	37.73	342.323	45.699
20.7	37.585	367.21	45.572
20.8	37.451	386.263	45.445
20.9	37.321	398.201	45.319
21.0	37.195	402.194	45.194
21.1	37.07	397.952	45.069
21.2	36.946	385.764	44.946
21.3	36.823	366.461	44.823
21.4	36.701	341.325	44.701
21.5	36.58	311.942	44.58
21.6	36.46	280.042	44.46
21.7	36.341	247.328	44.341
21.8	36.223	215.333	44.223
21.9	36.106	185.309	44.106
22.0	35.99	158.169	43.99
22.1	35.875	134.47	43.875
22.2	35.761	114.436	43.761
22.3	35.649	98.016	43.649
22.4	35.538	84.95	43.538
